Referee,Age

A Marriner,01/01/1971
A Taylor,20/10/1978
C Foy,20/11/1962
C Pawson,18/07/1979
G Scott,01/01/1968
H Webb,14/07/1971
J Moss,18/10/1970
K Friend,08/07/1971
K Stroud,12/08/1969
L Mason,29/10/1971
L Probert,13/08/1972
M Atkinson,31/03/1971
M Clattenburg,13/03/1975
M Dean,02/06/1968
M Halsey,08/07/1961
M Jones,18/04/1968
M Oliver,20/02/1985
N Swarbrick,01/01/1963
P Dowd,26/01/1963
P Tierney,01/01/1980
P Walton,10/10/1959
R East,12/05/1965
R Madley,06/10/1985
S Attwell,06/10/1982
S Hooper,01/01/1984
